Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
yl_101_1	yl_101_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12385464.0	0.0	18-100	55.0	38.08822751662069	99.18083892537251	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_101_2	yl_101_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12385464.0	0.0	18-100	55.0	38.76855753881141	99.05886674895667	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_102_1	yl_102_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13507623.0	0.0	18-100	54.0	36.80915516210197	99.175433160964	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_102_2	yl_102_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13507623.0	0.0	18-100	54.0	37.20287636924464	99.0675626644303	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_103_1	yl_103_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12377923.0	0.0	18-100	54.0	36.300506033004964	99.17276686888422	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_103_2	yl_103_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12377923.0	0.0	18-100	54.0	37.05892247221286	99.06169976982406	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_104_1	yl_104_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13181768.0	0.0	18-100	54.0	35.127726894946434	99.16578838286335	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_104_2	yl_104_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13181768.0	0.0	18-100	54.0	35.73101496008584	99.08012187742949	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_105_1	yl_105_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12492059.0	0.0	18-100	54.0	37.37320311384818	99.155757909885	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_105_2	yl_105_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12492059.0	0.0	18-100	54.0	38.40586791871179	99.06734398228507	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_106_1	yl_106_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12544250.0	0.0	18-100	53.0	35.17712824954361	99.16266990852382	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_106_2	yl_106_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12544250.0	0.0	18-100	53.0	36.04101858284686	99.07525774757359	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_107_1	yl_107_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11333373.0	0.0	18-100	53.0	39.79094856296007	99.15859612138416	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_107_2	yl_107_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11333373.0	0.0	18-100	53.0	40.792070433413194	99.0860406694459	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_108_1	yl_108_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13649882.0	0.0	18-100	53.0	35.98366182206991	99.16729785649429	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_108_2	yl_108_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13649882.0	0.0	18-100	53.0	37.023803769281805	99.08248701344085	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_109_1	yl_109_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12489762.0	0.0	18-100	54.0	37.13909509694698	99.16436053785492	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_109_2	yl_109_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12489762.0	0.0	18-100	54.0	38.2443352330023	99.06281945164368	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_110_1	yl_110_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12514445.0	0.0	18-100	54.0	35.01650228846338	99.17158627490072	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_110_2	yl_110_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12514445.0	0.0	18-100	53.0	35.8542937256633	99.08373979029834	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_111_1	yl_111_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13259006.0	0.0	18-100	54.0	37.36083591279261	99.17640598397799	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_111_2	yl_111_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13259006.0	0.0	18-100	54.0	38.11542247918903	99.0630317234942	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_112_1	yl_112_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12403861.0	0.0	18-100	54.0	37.25141309740585	99.17245831761578	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_112_2	yl_112_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12403861.0	0.0	18-100	54.0	38.60201964694102	99.0606966653367	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
