	strain	modification	project	condition	reference_condition	mode	media	temperature	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation	full_name	passed_replicate_correlations
yl_209	W29	WT	O2_oscillations_2	Single oscillation_#3.2_DO0	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Single oscillation_#3.2_DO0	True
yl_210	W29	WT	O2_oscillations_2	Single oscillation_#3.2_DO0	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Single oscillation_#3.2_DO0	True
yl_211	W29	WT	O2_oscillations_2	Single oscillation_#3.2_DO0	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Single oscillation_#3.2_DO0	True
yl_212	W29	WT	O2_oscillations_2	Single oscillation_#3.2_DO0	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Single oscillation_#3.2_DO0	True
yl_213	W29	WT	O2_oscillations_2	Single_oscillation_#4.2_DO40	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Single_oscillation_#4.2_DO40	True
yl_214	W29	WT	O2_oscillations_2	Single_oscillation_#4.2_DO40	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Single_oscillation_#4.2_DO40	True
yl_215	W29	WT	O2_oscillations_2	Single_oscillation_#4.2_DO40	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Single_oscillation_#4.2_DO40	True
yl_216	W29	WT	O2_oscillations_2	Single_oscillation_#4.2_DO40	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Single_oscillation_#4.2_DO40	True
yl_217	W29	WT	O2_oscillations_2	Repeated_oscillation_#5.2_DO40	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Repeated_oscillation_#5.2_DO40	True
yl_218	W29	WT	O2_oscillations_2	Repeated_oscillation_#5.2_DO40	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Repeated_oscillation_#5.2_DO40	True
yl_219	W29	WT	O2_oscillations_2	Repeated_oscillation_#5.2_DO40	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Repeated_oscillation_#5.2_DO40	True
yl_220	W29	WT	O2_oscillations_2	Repeated_oscillation_#5.2_DO40	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Repeated_oscillation_#5.2_DO40	True
yl_221	W29	WT	O2_oscillations_2	Repeated_oscillation_#6.2_DO0	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Repeated_oscillation_#6.2_DO0	True
yl_222	W29	WT	O2_oscillations_2	Repeated_oscillation_#6.2_DO0	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Repeated_oscillation_#6.2_DO0	True
yl_223	W29	WT	O2_oscillations_2	Repeated_oscillation_#6.2_DO0	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Repeated_oscillation_#6.2_DO0	True
yl_224	W29	WT	O2_oscillations_2	Repeated_oscillation_#6.2_DO0	Single_oscillation_#1.2_DO40	Continuous	Delft	30.0	True	True	True	O2_oscillations_2:Repeated_oscillation_#6.2_DO0	True
yl_225	W29	WT	CO2 stress	CO2_0%	CO2_0%	Continuous	Delft	30.0	True	True	True	CO2 stress:CO2_0%	True
yl_226	W29	WT	CO2 stress	CO2_30%	CO2_0%	Continuous	Delft	30.0	True	True	True	CO2 stress:CO2_30%	True
yl_227	W29	WT	CO2 stress	CO2_30%	CO2_0%	Continuous	Delft	30.0	True	True	True	CO2 stress:CO2_30%	True
yl_228	W29	WT	CO2 stress	CO2_10%	CO2_0%	Continuous	Delft	30.0	True	True	True	CO2 stress:CO2_10%	True
yl_229	W29	WT	CO2 stress	CO2_40%	CO2_0%	Continuous	Delft	30.0	True	True	True	CO2 stress:CO2_40%	True
yl_230	W29	WT	CO2 stress	CO2_10%	CO2_0%	Continuous	Delft	30.0	True	True	True	CO2 stress:CO2_10%	True
yl_231	W29	WT	CO2 stress	CO2_50%	CO2_0%	Continuous	Delft	30.0	True	True	True	CO2 stress:CO2_50%	True
yl_232	W29	WT	CO2 stress	CO2_20%	CO2_0%	Continuous	Delft	30.0	True	True	True	CO2 stress:CO2_20%	True
yl_233	W29	WT	CO2 stress	CO2_30%	CO2_0%	Continuous	Delft	30.0	True	True	True	CO2 stress:CO2_30%	True
yl_234	W29	WT	CO2 stress	CO2_50%	CO2_0%	Continuous	Delft	30.0	True	True	True	CO2 stress:CO2_50%	True
yl_235	W29	WT	CO2 stress	CO2_50%	CO2_0%	Continuous	Delft	30.0	True	True	True	CO2 stress:CO2_50%	True
yl_236	W29	WT	CO2 stress	CO2_10%	CO2_0%	Continuous	Delft	30.0	True	True	True	CO2 stress:CO2_10%	True
yl_237	W29	WT	CO2 stress	CO2_50%	CO2_0%	Continuous	Delft	30.0	True	True	True	CO2 stress:CO2_50%	True
yl_238	W29	WT	CO2 stress	CO2_0%	CO2_0%	Continuous	Delft	30.0	True	True	True	CO2 stress:CO2_0%	True
yl_239	W29	WT	CO2 stress	CO2_10%	CO2_0%	Continuous	Delft	30.0	True	True	True	CO2 stress:CO2_10%	True
yl_240	W29	WT	CO2 stress	CO2_40%	CO2_0%	Continuous	Delft	30.0	True	True	True	CO2 stress:CO2_40%	True
yl_241	W29	WT	CO2 stress	CO2_20%	CO2_0%	Continuous	Delft	30.0	True	True	True	CO2 stress:CO2_20%	True
yl_242	W29	WT	CO2 stress	CO2_40%	CO2_0%	Continuous	Delft	30.0	True	True	True	CO2 stress:CO2_40%	True
yl_243	W29	WT	CO2 stress	CO2_30%	CO2_0%	Continuous	Delft	30.0	True	True	True	CO2 stress:CO2_30%	True
yl_244	W29	WT	CO2 stress	CO2_0%	CO2_0%	Continuous	Delft	30.0	True	True	True	CO2 stress:CO2_0%	True
yl_245	W29	WT	CO2 stress	CO2_40%	CO2_0%	Continuous	Delft	30.0	True	True	True	CO2 stress:CO2_40%	True
yl_246	W29	WT	CO2 stress	CO2_0%	CO2_0%	Continuous	Delft	30.0	True	True	True	CO2 stress:CO2_0%	True
